epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.093,4.05793,4.68332,3.62277,0.37866,0.16917,0.07857,0.02384,3.27511,2.99234,3.18228,0.0820431,0.00199522,0.00199522
2,268.512,2.92993,2.80218,2.65857,0.2826,0.43089,0.26927,0.11188,2.32951,2.02849,2.14399,0.0640352,0.0039873,0.0039873
3,394.97,2.43298,2.21598,2.13761,0.31066,0.51903,0.33708,0.14993,2.15837,2.02903,1.94103,0.0460193,0.00597147,0.00597147
4,518.896,2.24582,2.03249,1.96076,0.4305,0.49701,0.4083,0.1752,2.05975,1.74772,1.92134,0.0279956,0.00794772,0.00794772
5,641.298,2.11876,1.92026,1.86739,0.40196,0.51712,0.40128,0.18524,1.98361,1.96689,1.84051,0.0099639,0.00991605,0.00991605
6,763.079,2.0281,1.81952,1.80422,0.4069,0.58162,0.4642,0.22358,1.92636,1.65573,1.79405,0.009901,0.009901,0.009901
7,884.919,1.96729,1.70938,1.76806,0.48454,0.60214,0.52926,0.23954,1.96448,1.47677,1.83073,0.0098812,0.0098812,0.0098812
8,1006.69,1.92031,1.64093,1.72006,0.52054,0.59471,0.55204,0.265,1.83718,1.47895,1.73931,0.0098614,0.0098614,0.0098614
9,1128.57,1.8841,1.58534,1.7032,0.51806,0.60367,0.53811,0.2416,1.8783,1.58761,1.7602,0.0098416,0.0098416,0.0098416
10,1250.38,1.85304,1.54164,1.67962,0.55245,0.62389,0.57346,0.28883,1.76259,1.3917,1.68387,0.0098218,0.0098218,0.0098218
11,1372.17,1.82882,1.49913,1.65474,0.56336,0.62074,0.60003,0.30076,1.79575,1.39503,1.70131,0.009802,0.009802,0.009802
12,1493.96,1.80649,1.47326,1.64754,0.558,0.59888,0.57583,0.28447,1.77293,1.44328,1.70332,0.0097822,0.0097822,0.0097822
13,1616.41,1.80131,1.45623,1.64743,0.56155,0.64335,0.6169,0.31041,1.73411,1.30732,1.65657,0.0097624,0.0097624,0.0097624
14,1738.44,1.77742,1.44386,1.62965,0.61678,0.6583,0.63178,0.31864,1.73568,1.3284,1.65641,0.0097426,0.0097426,0.0097426
